LG,WR,LR,WF,FL,FU,BW,is_resonant,in_target_window,source
6.5,12.25,3.3,2.4,5.79,8.1,2.3099999999999996,1,1,original
6.5,12.0,3.3,4.2,5.37,7.68,2.3099999999999996,1,1,original
7.5,11.25,3.3,2.6,5.87,8.17,2.3,1,1,original
7.5,12.0,3.3,2.7,5.67,7.97,2.3,1,1,original
7.0,12.5,3.3,2.8,5.63,7.93,2.3,1,1,original
7.0,12.5,3.3,3.5,5.44,7.74,2.3,1,1,original
7.0,11.75,3.3,2.3,5.94,8.24,2.3,1,1,original
6.0,12.5,3.0,3.6,5.07,7.36,2.29,1,1,original
7.5,12.25,3.3,2.6,5.58,7.86,2.2800000000000002,1,1,original
6.0,12.5,3.0,3.4,5.12,7.4,2.2800000000000002,1,1,original
7.0,12.5,3.3,2.5,5.57,7.85,2.2799999999999994,1,1,original
7.5,12.5,3.3,3.8,5.65,7.93,2.2799999999999994,1,1,original
7.5,11.25,3.3,2.0,5.96,8.23,2.2700000000000005,1,1,original
6.5,12.0,3.0,5.0,5.13,7.4,2.2700000000000005,1,1,original
7.5,11.25,3.3,2.5,5.9,8.17,2.2699999999999996,1,1,original
6.5,11.75,3.3,2.9,5.77,8.04,2.2699999999999996,1,1,original
7.0,12.0,3.0,2.7,5.81,8.07,2.2600000000000007,1,1,original
7.5,11.25,3.3,2.3,5.97,8.23,2.2600000000000007,1,1,original
7.0,12.0,3.0,2.1,5.9,8.16,2.26,1,1,original
7.0,11.25,3.3,2.1,6.22,8.47,2.250000000000001,1,1,original
7.0,11.25,3.3,2.4,6.13,8.38,2.250000000000001,1,1,original
7.5,11.25,3.3,2.1,5.97,8.22,2.250000000000001,1,1,original
7.5,11.75,3.3,2.2,5.8,8.05,2.250000000000001,1,1,original
7.0,11.25,3.3,2.5,5.98,8.23,2.25,1,1,original
7.0,12.5,3.0,2.8,5.5,7.75,2.25,1,1,original
7.0,12.75,3.3,3.0,5.37,7.61,2.24,1,1,original
7.5,11.75,3.3,2.7,5.78,8.02,2.2399999999999993,1,1,original
7.5,11.5,3.3,2.7,5.91,8.14,2.2300000000000004,1,1,original
7.5,12.5,3.3,3.1,5.43,7.66,2.2300000000000004,1,1,original
5.5,11.5,3.3,2.8,5.86,8.08,2.2199999999999998,1,1,original
7.0,12.5,3.3,3.1,5.36,7.58,2.2199999999999998,1,1,original
7.5,11.75,3.3,2.9,5.85,8.06,2.210000000000001,1,1,original
7.5,11.0,3.3,2.3,6.05,8.26,2.21,1,1,original
7.0,11.75,3.3,2.7,5.98,8.19,2.209999999999999,1,1,original
